player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Scott Gardner,Virginia,,0,0,0,,,,,,60.0,,,,,,,,
John Reaves,Florida,,0,0,0,,,,,,59.0,,,,,,,235.9,
Chuck Hixson,SMU,,0,0,0,,,,,,56.0,,,,,,,231.6,
Craig Kimball,San Jose State,,0,0,0,,,,,,56.0,,,,,,,,
Tom Rozantz,William & Mary,,0,0,0,,,,,,56.0,,,,,,,,
Frank Seurer,Kansas,,0,0,0,,,,,,56.0,,,,,,13.7,,
Tom Tunnicliffe,Arizona,,0,0,0,,,,,,56.0,,,,,,,,
Mickey Brokas,Chattanooga,,0,0,0,,,,,,55.0,,,,,,,,
Mike Ford,SMU,,0,0,0,,,,,,54.0,,,,,,,,
Dan Fouts,Oregon,,0,0,0,,,,,,54.0,,,,,,,,
Jay Gruden,Louisville,,0,0,0,,,,,,54.0,,,,,,,,
Ty Paine,Washington State,,0,0,0,,,,,,54.0,,,,,,,,
Dave Ziebart,Air Force,,0,0,0,,,,,,54.0,,,,,,,,
Ryan Cubit,Western Michigan,,0,0,0,,,,,,53.0,,,,,,,,
Maurie Daigneau,Northwestern,,0,0,0,,,,,,53.0,,,,,,,,
Randy Jenkins,Kentucky,,0,0,0,,,,,,53.0,,,,,,,,
Jamie McAlister,New Mexico State,,0,0,0,,,,,,53.0,,,,,,,,
Steve Slayden,Duke,,0,0,0,,,,,,53.0,1546.0,,,,,,,
Steve Bradley,Indiana,,0,0,0,,,,,,52.0,,,,,,,,
Tommy Kramer,Rice,,0,0,0,,,,,,52.0,,,,,,,,
Ed Luther,San Jose State,,0,0,0,,,,,,52.0,,,,,,,,
Eddie McAshan,Georgia Tech,,0,0,0,,,,,,52.0,,,,,,,,
Mike McMahon,Rutgers,,0,0,0,,,,,,52.0,,,,,,13.7,,
Gary Schofield,Wake Forest,,0,0,0,,,,,,52.0,,,,,,,,
Joe Pisarcik,New Mexico State,,0,0,0,,,,,,51.0,,,,,,,,
Mike Pusey,Western Carolina,,0,0,0,,,,,,51.0,,,,,,14.7,,
Sonny Sixkiller,Washington,,0,0,0,,,,,,51.0,,,,,,14.3,,
Mike Elkins,Wake Forest,,0,0,0,,,,,,50.0,,,,,,,,
Mike McGann,Temple,,0,0,0,,,,,,50.0,,,,,,,,
Terry Nugent,Colorado State,,0,0,0,,,,,,50.0,,,,,,,,
Steve Olson,Idaho,,0,0,0,,,,,,50.0,,,,,,,,
Ed Rubbert,Louisville,,0,0,0,,,,,,50.0,,,,,,,,
Scott Erney,Rutgers,,0,0,0,,,,,,49.0,,,,,,,,
Greg Kokal,Kent State,,0,0,0,,,,,,49.0,,,,,,13.8,,
Sandy Schwab,Northwestern,,0,0,0,,,,,,49.0,,,,,,,,
Jack Thompson,Washington State,,0,0,0,,,,,,49.0,,,,,,,,
Zac Dahman,Army,,0,0,0,,,,,,48.0,,,,,,,,
Gale Gilbert,California,,0,0,0,,,,,,48.0,,,,,,,,
Loran Carter,Auburn,,0,0,0,,,,,,47.0,,,,,,,,
Sammy Garza,UTEP,,0,0,0,,,,,,47.0,,,,,,,,
Jerry Henderson,Washington State,,0,0,0,,,,,,47.0,,,,,,,,
Jamie Howard,LSU,,0,0,0,,,,,,47.0,,,,,,,,
Dan Kendra,West Virginia,,0,0,0,,,,,,47.0,,,,,,13.6,,
Mike Kerrigan,Northwestern,,0,0,0,,,,,,47.0,,,,,,,,
Jim Kubiak,Navy,,0,0,0,,,,,,47.0,,,,,,,,
Jeff Martin,Drake,,0,0,0,,,,,,47.0,,,,,,,,
Jim Plunkett,Stanford,,0,0,0,,,,,,47.0,,,,,,14.2,243.4,6.7
Norm Snead,Wake Forest,,0,0,0,,,,,,47.0,,,,,,,,
Don Strock,Virginia Tech,,0,0,0,,,,,,47.0,,,,,,13.7,,
Reggie Allen,Indiana State,,0,0,0,,,,,,46.0,,,,,,13.9,,
Will Furrer,Virginia Tech,,0,0,0,,,,,,46.0,,,,,,,,
Peter Gardere,Texas,,0,0,0,,,,,,46.0,,,,,,,,
Sammy Shon,Ohio,,0,0,0,,,,,,46.0,,,,,,,,
Troy Taylor,California,,0,0,0,,,,,,46.0,,,,,,,,
Greg Zolman,Vanderbilt,,0,0,0,,,,,,46.0,,,,,,,,
Henry Burris,Temple,,0,0,0,,,,,,45.0,,,,,,,,
Kelly Donohoe,Kansas,,0,0,0,,,,,,45.0,,,,,,13.7,,
John Eckman,Wichita State,,0,0,0,,,,,,45.0,,,,,,,,
Bruce Gadd,Rice,,0,0,0,,,,,,45.0,,,,,,,,
Mark Halda,San Diego State,,0,0,0,,,,,,45.0,,,,,,,,
Frank Harris,Boston College,,0,0,0,,,,,,45.0,,,,,,,,
Tom Owen,Wichita State,,0,0,0,,,,,,45.0,,,,,,,,
Terry Southall,Baylor,,0,0,0,,,,,,45.0,,,,,,,,
Steve Stamp,TCU,,0,0,0,,,,,,45.0,,,,,,14.6,,
Steve Beuerlein,Notre Dame,,0,0,0,,,,,,44.0,,,,,,13.8,,
Rich Dackin,Bowling Green State,,0,0,0,,,,,,44.0,,,,,,,,
Joe Freedy,Buffalo,,0,0,0,,,,,,44.0,,,,,,,,
Oliver Luck,West Virginia,,0,0,0,,,,,,44.0,,,,,,,,
Rick Norton,Kentucky,,0,0,0,,,,,,44.0,,,,,,,,
Kurt Page,Vanderbilt,,0,0,0,,,,,,44.0,,,,,,,,
John Paye,Stanford,,0,0,0,,,,,,44.0,,,,,,,,
Gene Swick,Toledo,,0,0,0,,,,,,44.0,1569.0,,,,,,,
Juice Williams,Illinois,,0,0,0,,,,,,44.0,1773.0,10594.0,,,,,,
C.J. Bacher,Northwestern,,0,0,0,,,,,,43.0,,,,,,,,
Guy Benjamin,Stanford,,0,0,0,,,,,,43.0,,,,,,,,
Virgil Carter,Brigham Young,,0,0,0,,,,,,43.0,,,,,,15.7,,
Jason W. Davis,UNLV,,0,0,0,,,,,,43.0,,,,,,,,
Darrell Ray Dickey,Kansas State,,0,0,0,,,,,,43.0,,,,,,,,
Kevin Fant,Mississippi State,,0,0,0,,,,,,43.0,,,,,,,,
Kingsley Fink,Army,,0,0,0,,,,,,43.0,,,,,,,,
Cody Ledbetter,New Mexico State,,0,0,0,,,,,,43.0,,,,,,,,
John Madeya,Louisville,,0,0,0,,,,,,43.0,,,,,,,,
Ron Reeves,Texas Tech,,0,0,0,,,,,,43.0,,,,,,,,
Wayne Schuchts,Virginia,,0,0,0,,,,,,43.0,,,,,,,,
Tom Schultze,Virginia Military Institute,,0,0,0,,,,,,43.0,,,,,,,,
Brian Sipe,San Diego State,,0,0,0,,,,,,43.0,,,,,,,,
Dennis Sproul,Arizona State,,0,0,0,,,,,,43.0,,,,,,15.1,,
Don Van Galder,Utah,,0,0,0,,,,,,43.0,,,,,,,,
Neil Britt,Ball State,,0,0,0,,,,,,42.0,,,,,,,,
Vidal Carlin,North Texas,,0,0,0,,,,,,42.0,,,,,,,,
Kelly Cochrane,Miami (FL),,0,0,0,,,,,,42.0,,,,,,,,
Alex Espinoza,Iowa State,,0,0,0,,,,,,42.0,,,,,,,,
Jeff Graham,Long Beach State,,0,0,0,,,,,,42.0,,,,,,,,
Talmadge Hill,Ball State,,0,0,0,,,,,,42.0,,,,,,,,
Eric Hipple,Utah State,,0,0,0,,,,,,42.0,,,,,,,,
Mike Kelley,Georgia Tech,,0,0,0,,,,,,42.0,,,,,,,,
Tommy Kendrick,Clemson,,0,0,0,,,,,,42.0,,,,,,,,
Mike McNallen,Navy,,0,0,0,,,,,,42.0,,,,,,,,
Brian Mitchell,Louisiana,,0,0,0,,,,,,42.0,1521.0,,,,,14.1,,
Larry Rakestraw,Georgia,,0,0,0,,,,,,42.0,,,,,,,,
Art Schlichter,Ohio State,,0,0,0,,,,,,42.0,,,,,,15.0,,
Gary Snook,Iowa,,0,0,0,,,,,,42.0,,,,,,,,
Kent Austin,Ole Miss,,0,0,0,,,,,,41.0,,,,,,,,
Todd Blackledge,Penn State,,0,0,0,,,,,,41.0,,,,,,14.1,,
Bo Burris,Houston,,0,0,0,,,,,,41.0,,,,,,,,
Scott Campbell,Purdue,,0,0,0,,,,,,41.0,,,,,,,,
Steve Clarkson,San Jose State,,0,0,0,,,,,,41.0,,,,,,,,
Bill Craigo,UTEP,,0,0,0,,,,,,41.0,,,,,,,,
Rick Donegan,Southern Mississippi,,0,0,0,,,,,,41.0,,,,,,,,
Marquel Fleetwood,Minnesota,,0,0,0,,,,,,41.0,,,,,,,,
Stephen Garcia,South Carolina,,0,0,0,,,,,,41.0,,,,,,,,
Chris Garrity,William & Mary,,0,0,0,,,,,,41.0,,,,,,,,
Roch Hontas,Tulane,,0,0,0,,,,,,41.0,,,,,,,,
Terrence Jones,Tulane,,0,0,0,,,,,,41.0,1620.0,,,,,,,
Scotty Shipp,Davidson,,0,0,0,,,,,,41.0,,,,,,,,
Whit Taylor,Vanderbilt,,0,0,0,,,,,,41.0,,,,,,,,
Erik White,Bowling Green State,,0,0,0,,,,,,41.0,,,,,,,,
Jeff Bender,Central Michigan,,0,0,0,,,,,,40.0,,,,,,,,
Steve Casey,Virginia Tech,,0,0,0,,,,,,40.0,,,,,,,,
Brad Goebel,Baylor,,0,0,0,,,,,,40.0,,,,,,,,
Edd Hargett,Texas A&M,,0,0,0,,,,,,40.0,,,,,,,,
Rich Haynie,Air Force,,0,0,0,,,,,,40.0,,,,,,,,
Neal Jeffrey,Baylor,,0,0,0,,,,,,40.0,,,,,,,,
Steve Judy,TCU,,0,0,0,,,,,,40.0,,,,,,,,
Archie Manning,Ole Miss,,0,0,0,,,,,,40.0,,,,,,,,
Scooter Molander,Colorado State,,0,0,0,,,,,,40.0,,,,,,,234.8,
Tom Myers,Northwestern,,0,0,0,,,,,,40.0,,,,,,,,
Mike Neu,Ball State,,0,0,0,,,,,,40.0,,,,,,,,
Oscar Ramirez,UTEP,,0,0,0,,,,,,40.0,,,,,,,,
Chris Rowland,Washington,,0,0,0,,,,,,40.0,,,,,,,,
Tommy Suggs,South Carolina,,0,0,0,,,,,,40.0,,,,,,13.9,,
Anthony Thornton,Ohio,,0,0,0,,,,,,40.0,,,,,,,,
Billy Joe Tolliver,Texas Tech,,0,0,0,,,,,,40.0,,,,,,13.7,,
Pete Vaas,Holy Cross,,0,0,0,,,,,,40.0,,,,,,,,
Elvis Grbac,Michigan,148.7,0,0,0,,,,,,,,,,,,,,
Cody Hodges,Texas Tech,147.6,0,0,0,,,,,,,,,,,,,,
Pat White,West Virginia,147.4,0,0,0,,,,,,,,10529.0,103.0,,,,,7.2
B.J. Symons,Texas Tech,147.1,0,0,0,,,,,,,,,,,,,,
Jacob Zeno,UAB,146.4,0,0,0,,,,,,,,,,,,,,
Joe Southwick,Boise State,145.9,0,0,0,,,,,,,,,,,,,,
Will Levis,Kentucky,145.6,0,0,0,,,,,,,,,,,,,,
Josh Hoover,TCU,144.7,0,0,0,,,,,,,,,,,,,247.9,
Terrelle Pryor,Ohio State,144.6,0,0,0,,,,,,,,,,,,,,6.8
Casey Pachall,TCU,144.3,0,0,0,,,,,,,,,,,,,,
Zach Collaros,Cincinnati,144.1,0,0,0,,,,,,,,,,,,,,
Steve Bellisari,Ohio State,,0,0,0,,,,,,,,,,,,15.4,,
Don Smith,Mississippi State,,0,0,0,,,,,,,,,,,,15.3,,
Lee Saltz,Temple,,0,0,0,,,,,,,,,,,,15.3,,
Jonathan Smith,Oregon State,,0,0,0,,,,,,,,,,,,15.1,233.5,
Anthoney Hill,Colorado State,,0,0,0,,,,,,,,,,,,15.1,,
Bruce Hill,Arizona,,0,0,0,,,,,,,,,,,,15.0,,
Steve Brown,Appalachian State,,0,0,0,,,,,,,,,,,,14.9,,
Raymond Philyaw,Louisiana-Monroe,,0,0,0,,,,,,,,,,,,14.8,,
Cody Carlson,Baylor,,0,0,0,,,,,,,,,,,,14.8,,
Greg Cook,Cincinnati,,0,0,0,,,,,,,,,,,,14.8,,
Mike Bath,Miami (OH),,0,0,0,,,,,,,,,,,,14.7,,
Rod Rutherford,Pitt,,0,0,0,,,,,,,,,,,,14.7,,
Tony Sacca,Penn State,,0,0,0,,,,,,,,,,,,14.6,,
Reggie McNeal,Texas A&M,,0,0,0,,,,,,,,,,,,14.6,,6.9
Bradlee Van Pelt,Colorado State,,0,0,0,,,,,,,,,,,,14.5,,7.0
K.C. Enzminger,New Mexico State,,0,0,0,,,,,,,,,,,,14.5,,
Mark Barsotti,Fresno State,,0,0,0,,,,,,,,,,,,14.5,,6.8
Mike Phipps,Purdue,,0,0,0,,,,,,,,,,,,14.5,,
Ronald Curry,North Carolina,,0,0,0,,,,,,,,,,,,14.5,,
Derrick Taite,Mississippi State,,0,0,0,,,,,,,,,,,,14.5,,
Robert Hall,Texas Tech,,0,0,0,,,,,,,,,,,,14.4,,
Brad Taylor,Arkansas,,0,0,0,,,,,,,,,,,,14.4,,
Maurice DeShazo,Virginia Tech,,0,0,0,,,,,,,,,,,,14.4,,
Jevan Snead,Ole Miss,,0,0,0,,,,,,,,,,,,14.4,,
Aaron Brooks,Virginia,,0,0,0,,,,,,,,,,,,14.3,,
Roy Henry,Louisiana,,0,0,0,,,,,,,,,,,,14.3,,
Greg Frey,Ohio State,,0,0,0,,,,,,,,,,,,14.3,,
Raphel Cherry,Hawaii,,0,0,0,,,,,,,,,,,,14.3,,
Dave Humm,Nebraska,,0,0,0,,,,,,,,,,,,14.3,,
Jeff Blake,East Carolina,,0,0,0,,,,,,,,,,,,14.3,,
Scott Hall,North Texas,,0,0,0,,,,,,,,,,,,14.2,,
Antwaan Randle El,Indiana,,0,0,0,,,,,,,1917.0,11364.0,87.0,,,14.1,,
Todd Husak,Stanford,,0,0,0,,,,,,,,,,,,14.1,,
Doug Johnson,Florida,,0,0,0,,,,,,,,,,,,14.1,,
Dameyune Craig,Auburn,,0,0,0,,,,,,,,,,,,14.1,,
Derek Stott,UNLV,,0,0,0,,,,,,,,,,,,14.1,,
Tee Martin,Tennessee,,0,0,0,,,,,,,,,,,,14.1,,
David Lowery,San Diego State,,0,0,0,,,,,,,,,,,,14.1,,
Chad Johnston,West Virginia,,0,0,0,,,,,,,,,,,,14.1,,
Jake Plummer,Arizona State,,0,0,0,,,,,,,,,,,,14.1,,
Max Bortenschlager,Florida International,,0,0,0,,,,,,,,,,,,14.1,,
Clint Stoerner,Arkansas,,0,0,0,,,,,,,,,,,,14.1,,
Bill Cappleman,Florida State,,0,0,0,,,,,,,,,,,,14.1,,
Matt Jones,Arkansas,,0,0,0,,,,,,,,,,,,14.0,,7.4
Mark Rypien,Washington State,,0,0,0,,,,,,,,,,,,14.0,,
Cleo Lemon,Arkansas State,,0,0,0,,,,,,,,,,,,14.0,,
Vince Ferragamo,Nebraska,,0,0,0,,,,,,,,,,,,14.0,,
Ortege Jenkins,Arizona,,0,0,0,,,,,,,,,,,,14.0,,
Browning Nagle,Louisville,,0,0,0,,,,,,,,,,,,14.0,,
James Brown,Texas,,0,0,0,,,,,,,,,,,,14.0,,6.7
Gavin Hardison,UTEP,,0,0,0,,,,,,,,,,,,14.0,,
Jason Johnson,Arizona,,0,0,0,,,,,,,,,,,,13.9,,
Jim Kelly,Miami (FL),,0,0,0,,,,,,,,,,,,13.9,,
Pat Sullivan,Auburn,,0,0,0,,,,,,,,,,,,13.9,,
Josh Allen,Wyoming,,0,0,0,,,,,,,,,,,,13.9,,
Gino Torretta,Miami (FL),,0,0,0,,,,,,,,,,,,13.9,,7.0
Asad Abdul-Khaliq,Minnesota,,0,0,0,,,,,,,,,,,,13.8,,6.9
Gerald Landry,Houston,,0,0,0,,,,,,,,,,,,13.8,,
Chuck Ealey,Toledo,,0,0,0,,,,,,,,,,,,13.8,,
Tom Corontzos,Wyoming,,0,0,0,,,,,,,,,,,,13.8,,
Kerwin Bell,Florida,,0,0,0,,,,,,,,,,,,13.8,,
John Hessler,Colorado,,0,0,0,,,,,,,,,,,,13.8,,
Paul Justin,Arizona State,,0,0,0,,,,,,,,,,,,13.8,,
Erik Kramer,North Carolina State,,0,0,0,,,,,,,,,,,,13.8,,
Eric Jones,Vanderbilt,,0,0,0,,,,,,,,,,,,13.8,,
Joe Hughes,Wyoming,,0,0,0,,,,,,,,,,,,13.8,254.0,
Stephen Calvert,Liberty,,0,0,0,,,,,,,,,,,,13.8,269.2,
Khalil Tate,Arizona,,0,0,0,,,,,,,,,,,,13.8,,7.4
Ryan Kealy,Arizona State,,0,0,0,,,,,,,,,,,,13.8,,
Pat Hegarty,UTEP,,0,0,0,,,,,,,,,,,,13.8,,
Drew Bledsoe,Washington State,,0,0,0,,,,,,,,,,,,13.7,237.8,
Chip Hilleary,Kansas,,0,0,0,,,,,,,,,,,,13.7,,
Craig Krenzel,Ohio State,,0,0,0,,,,,,,,,,,,13.7,,
Wayne Madkin,Mississippi State,,0,0,0,,,,,,,,,,,,13.7,,
Matthew Stafford,Georgia,,0,0,0,,,,,,,,,,,,13.7,,7.0
Josh Fields,Oklahoma State,,0,0,0,,,,,,,,,,,,13.7,,
Major Applewhite,Texas,,0,0,0,,,,,,,,,,,,13.7,,6.8
Tony Adams,Utah State,,0,0,0,,,,,,,,,,,,13.7,,
Ed Smith,Michigan State,,0,0,0,,,,,,,,,,,,13.7,,
Dustin Almond,Southern Mississippi,,0,0,0,,,,,,,,,,,,13.6,,
Ron Powlus,Notre Dame,,0,0,0,,,,,,,,,,,,13.6,,
Bill Montgomery,Arkansas,,0,0,0,,,,,,,,,,,,13.6,,
Richie Donati,Fresno State,,0,0,0,,,,,,,,,,,,13.6,,
Joey Harrington,Oregon,,0,0,0,,,,,,,,,,,,13.6,,
Freddie Kitchens,Alabama,,0,0,0,,,,,,,,,,,,13.6,,
Brock Huard,Washington,,0,0,0,,,,,,,,,,,,13.6,,
Mark McKay,San Diego State,,0,0,0,,,,,,,,,,,,13.6,,
Brooks Bollinger,Wisconsin,,0,0,0,,,,,,,,,,,,13.6,,
Chris Vargas,Nevada,,0,0,0,,,,,,,,,,,,,318.0,
Tony Eason,Illinois,,0,0,0,,,,,,,,,,,,,300.4,
Jon Denton,UNLV,,0,0,0,,,,,,,,,,,,,294.1,
Dalton Williams,Akron,,0,0,0,,,,,,,,,,,,,282.3,
Mike Perez,San Jose State,,0,0,0,,,,,,,,,,,,,281.6,
Brent Snyder,Utah State,,0,0,0,,,,,,,,,,,,,277.5,
David Piland,Houston,,0,0,0,,,,,,,,,,,,,275.7,
Levi Brown,Troy,,0,0,0,,,,,,,,,,,,,273.2,
E.J. Warner,Rice,,0,0,0,,,,,,,,,,,,,271.5,
Scott Rislov,San Jose State,,0,0,0,,,,,,,,,,,,,261.1,
Anthony Calvillo,Utah State,,0,0,0,,,,,,,,,,,,,256.5,
Sonny Cumbie,Texas Tech,,0,0,0,,,,,,,,,,,,,255.8,
Mike Romo,SMU,,0,0,0,,,,,,,,,,,,,251.7,
Deondre Francois,Florida State,,0,0,0,,,,,,,,,,,,,251.6,
Martin Hankins,Memphis,,0,0,0,,,,,,,,,,,,,250.9,
Larry Egger,Utah,,0,0,0,,,,,,,,,,,,,250.0,
Todd Dillon,Long Beach State,,0,0,0,,,,,,,,,,,,,248.0,
Conner Manning,Georgia State,,0,0,0,,,,,,,,,,,,,244.1,
Dan Robinson,Hawaii,,0,0,0,,,,,,,,,,,,,241.5,
Frank Dolce,Utah,,0,0,0,,,,,,,,,,,,,240.7,
Matt Bohnet,Eastern Michigan,,0,0,0,,,,,,,,,,,,,237.5,
Charlie Batch,Eastern Michigan,,0,0,0,,,,,,,,,,,,,237.3,
Randall Cunningham,UNLV,,0,0,0,,,,,,,,,,,,,235.9,
Giovanni Vizza,North Texas,,0,0,0,,,,,,,,,,,,,233.9,
Tanner McKee,Stanford,,0,0,0,,,,,,,,,,,,,232.0,
Josh Freeman,Kansas State,,0,0,0,,,,,,,,,,,,,230.8,
Ty Gangi,Nevada,,0,0,0,,,,,,,,,,,,,230.6,6.9
Richard Lagow,Indiana,,0,0,0,,,,,,,,,,,,,230.3,
Jay Venuto,Wake Forest,,0,0,0,,,,,,,,,,,,,229.8,
Justin Vedder,California,,0,0,0,,,,,,,,,,,,,229.1,
Joshua Cribbs,Kent State,,0,0,0,,,,,,,1755.0,10839.0,86.0,,,,,
David Garrard,East Carolina,,0,0,0,,,,,,,1685.0,10238.0,81.0,,,,,
B.J. Daniels,South Florida,,0,0,0,,,,,,,1658.0,10501.0,,,,,,
Josh Harris,Bowling Green State,,0,0,0,,,,,,,1624.0,9976.0,102.0,,,,,
Len Williams,Northwestern,,0,0,0,,,,,,,1614.0,,,,,,,
Corey Leonard,Arkansas State,,0,0,0,,,,,,,1604.0,,,,,,,
Jake Locker,Washington,,0,0,0,,,,,,,1601.0,,82.0,,,,,
Taysom Hill,Brigham Young,,0,0,0,,,,,,,1581.0,9744.0,,,,,,
Taylor Martinez,Nebraska,,0,0,0,,,,,,,1547.0,10233.0,87.0,,,,,
Kevin O'Connell,San Diego State,,0,0,0,,,,,,,1546.0,,,,,,,
Nick Fitzgerald,Mississippi State,,0,0,0,,,,,,,1543.0,9814.0,101.0,,,,,
Zebbie Lethridge,Texas Tech,,0,0,0,,,,,,,1523.0,,,,,,,
Jordan Lynch,Northern Illinois,,0,0,0,,,,,,,,10552.0,100.0,,,,,7.1
John Rhys Plumlee,UCF,,0,0,0,,,,,,,,,,,,,,6.9
Will Howard,Ohio State,,0,0,0,,,,,,,,,84.0,,,,,6.9
Drew Stanton,Michigan State,,0,0,0,,,,,,,,,,,,,,6.8
Tommy Rees,Notre Dame,,0,0,0,,,,,,,,,,,,,,6.8
Tyree Jackson,Buffalo,,0,0,0,,,,,,,,,,,,,,6.7
Everett Golson,Florida State,,0,0,0,,,,,,,,,,,,,,6.7
Keenan Reynolds,Navy,,0,0,0,,,,,,,,,119.0,,,,,
Eric Crouch,Nebraska,,0,0,0,,,,,,,,,90.0,,,,,
Kenneth Dixon,Louisiana Tech,,0,0,0,,,,,,,,,87.0,,,,,
Collin Klein,Kansas State,,0,0,0,,,,,,,,,87.0,,,,,
Montee Ball,Wisconsin,,0,0,0,,,,,,,,,84.0,,,,,
Garrett Shrader,Syracuse,,0,0,0,,,,,,,,,84.0,,,,,
