player,drafted,yrs_played,teams,hof,wAV,earnings_mils,comp_%,pass_rating,comp,att,pass_yds,TD,pass_yds_game,int,int_%,pick_6,sacks,4QC,GWD
Tim Boyle,2018,,"['Lions', 'Packers', 'Jets', 'Bears', 'Dolphins', 'Texans']",,,7.193,,,,,,,,,,,,,
Sean Mannion,2015,,"['Vikings', 'Rams', 'Seahawks']",,,7.191,,,,,,,,,,,,,
Brandon Allen,2016,,"['Bengals', '49ers', 'Rams', 'Broncos', 'Jaguars']",,,6.882,,,,,,,,,,,,,
Cooper Rush,2017,,"['Cowboys', 'Giants']",,,6.718,,,,,,,,,,,,,
Brett Hundley,2015,,"['Cardinals', 'Packers', 'Seahawks', 'Colts', 'Ravens', 'Saints']",,,6.049,,,,,,,,,,,,,
Ryan Griffin,2017,,"['Buccaneers', 'Saints']",,,5.941,,,,,,,,,,,,,
Kyle Allen,2018,,"['Texans', 'Commanders', 'Bills', 'Panthers', 'Steelers']",,,5.937,,,,,,,,,,,,,
Davis Mills,2021,,['Texans'],,,5.866,,,,,,,,,,,,,
Nathan Peterman,2017,,"['Raiders', 'Bears', 'Bills', 'Saints']",,,5.605,,,,,,,,,,,,,
Phillip Walker,2017,,"['Panthers', 'Bears', 'Browns', 'Colts']",,,5.552,,,,,,,,,,,,,
Johnny Manziel,2014,,['Browns'],,,5.534,,,,,,,,,,,,,
Landry Jones,2013,,"['Steelers', 'Jaguars']",,,5.239,,,,,,,,,,,,,
Easton Stick,2019,,['Chargers'],,,5.231,,,,,,,,,,,,,
Tyler Huntley,2020,,"['Ravens', 'Browns']",,,5.097,,,,,,,,,,,,,
Will Levis,2023,,['Titans'],,,4.69,,,,,,,,,,,,,
Will Grier,2019,,"['Panthers', 'Cowboys', 'Patriots', 'Chargers', 'Bengals']",,,4.643,,,,,,,,,,,,,
Joe Webb,2010,,"['Vikings', 'Texans', 'Giants', 'Lions']",,,4.303,,,,,,,,,,,,,
Tyler Bray,2015,,"['Chiefs', 'Bears', '49ers']",,,4.183,,,,,,,,,,,,,
Kyle Trask,2021,,['Buccaneers'],,,4.121,,,,,,,,,,,,,
Matt McGloin,2013,,"['Raiders', 'Texans', 'Eagles']",,,4.109,,,,,,,,,,,,,
DeShone Kizer,2017,,"['Browns', 'Raiders', 'Packers', 'Titans']",,,3.943,,,,,,,,,,,,,
Brett Rypien,2019,,"['Broncos', 'Rams', 'Jets', 'Seahawks']",,,3.707,,,,,,,,,,,,,
John Wolford,2019,,"['Rams', 'Buccaneers']",,,3.697,,,,,,,,,,,,,
Scott Tolzien,2016,,"['Colts', 'Packers']",,,3.607,,,,,,,,,,,,,
David Fales,2014,,"['Dolphins', 'Jets', 'Bears', 'Ravens']",,,3.258,,,,,,,,,,,,,
T.J. Yates,2011,,"['Texans', 'Falcons', 'Dolphins', 'Bills']",,,3.21,,,,,,,,,,,,,
Logan Woodside,2019,,"['Titans', 'Falcons', 'Bengals']",,,3.084,,,,,,,,,,,,,
David Blough,2019,,"['Lions', 'Cardinals', 'Vikings', 'Browns']",,,3.084,,,,,,,,,,,,,
Kevin Hogan,2016,,"['Broncos', 'Browns', 'Texans', 'Titans', 'Chiefs', 'Bengals']",,,3.054,,,,,,,,,,,,,
Tom Savage,2014,,"['Texans', '49ers', 'Bengals', 'Saints', 'Lions']",,,3.035,,,,,,,,,,,,,
Cody Kessler,2016,,"['Browns', 'Jaguars', 'Patriots', 'Eagles']",,,3.028,,,,,,,,,,,,,
Trace McSorley,2019,,"['Ravens', 'Cardinals', 'Steelers', 'Bears']",,,2.923,,,,,,,,,,,,,
Ryan Nassib,2013,,"['Giants', 'Jaguars', 'Saints']",,,2.876,,,,,,,,,,,,,
Kellen Mond,2021,,"['Vikings', 'Browns', 'Colts']",,,2.872,,,,,,,,,,,,,
Davis Webb,2017,,"['Giants', 'Bills', 'Jets']",,,2.776,,,,,,,,,,,,,
Christian Hackenberg,2016,,"['Jets', 'Bengals']",,,2.77,,,,,,,,,,,,,
Malik Willis,2022,,['Titans'],,,2.766,,,,,,,,,,,,,
Alex Tanney,2015,,"['Giants', 'Titans', 'Cowboys', 'Colts', 'Bills']",,,2.755,,,,,,,,,,,,,
Garrett Gilbert,2014,,"['Browns', 'Cowboys', 'Patriots', 'Panthers', 'Commanders', 'Rams', 'Raiders', 'Lions']",,,2.669,,,,,,,,,,,,,
Jacob Eason,2020,,"['Colts', 'Seahawks', 'Panthers', 'Giants', '49ers']",,,2.544,,,,,,,,,,,,,
Sam Ehlinger,2021,,['Colts'],,,2.474,,,,,,,,,,,,,
Bryce Petty,2015,,"['Jets', 'Dolphins']",,,2.253,,,,,,,,,,,,,
Bailey Zappe,2022,,['Patriots'],,,2.222,,,,,,,,,,,,,
Dan Orlovsky,2015,,"['Lions', 'Rams']",,,2.175,,,,,,,,,,,,,
Ian Book,2021,,"['Saints', 'Eagles', 'Patriots']",,,2.171,,,,,,,,,,,,,
Feleipe Franks,2021,,"['Falcons', 'Panthers']",,,2.109,,,,,,,,,,,,,
Jake Luton,2020,,"['Jaguars', 'Saints', 'Panthers', 'Seahawks', 'Dolphins']",,,2.092,,,,,,,,,,,,,
Ryan Finley,2019,,['Bengals'],,,1.96,,,,,,,,,,,,,
Kyle Lauletta,2018,,"['Giants', 'Eagles', 'Browns', 'Jaguars', 'Falcons']",,,1.931,,,,,,,,,,,,,
Ricky Stanzi,2011,,"['Chiefs', 'Jaguars', 'Lions', 'Texans']",,,1.755,,,,,,,,,,,,,
Connor Cook,2016,,"['Raiders', 'Bengals', 'Lions', 'Panthers']",,,1.749,,,,,,,,,,,,,
Jake Rudock,2016,,"['Lions', 'Dolphins']",,,1.733,,,,,,,,,,,,,
Jake Fromm,2020,,"['Bills', 'Commanders', 'Giants']",,,1.718,,,,,,,,,,,,,
Bryce Perkins,2020,,['Rams'],,,1.66,,,,,,,,,,,,,
Hendon Hooker,2023,,['Lions'],,,1.659,,,,,,,,,,,,,
Jake Browning,2019,,"['Bengals', 'Vikings']",,,1.658,,,,,,,,,,,,,
Skylar Thompson,2022,,['Dolphins'],,,1.657,,,,,,,,,,,,,
Zach Mettenberger,2014,,"['Titans', 'Steelers']",,,1.655,,,,,,,,,,,,,
Logan Thomas,2014,,"['Cardinals', 'Dolphins', '49ers', 'Lions', 'Giants']",,,1.649,,,,,,,,,,,,,
James Morgan,2020,,"['Jets', 'Panthers', 'Colts', 'Cardinals', 'Steelers']",,,1.571,,,,,,,,,,,,,
Ryan Lindley,2012,,"['Cardinals', 'Chargers', 'Colts']",,,1.547,,,,,,,,,,,,,
Zac Dysert,2013,,"['Broncos', 'Cowboys', 'Cardinals', 'Texans', 'Bills']",,,1.531,,,,,,,,,,,,,
Cardale Jones,2016,,"['Bills', 'Chargers', 'Seahawks']",,,1.519,,,,,,,,,,,,,
Chris Streveler,2020,,"['Cardinals', 'Jets', 'Ravens']",,,1.513,,,,,,,,,,,,,
Kellen Moore,2017,,"['Cowboys', 'Lions']",,,1.485,,,,,,,,,,,,,
Shane Buechele,2021,,"['Chiefs', 'Bills']",,,1.481,,,,,,,,,,,,,
Garrett Grayson,2015,,"['Saints', 'Falcons', 'Broncos']",,,1.475,,,,,,,,,,,,,
Kyle Sloter,2017,,"['Vikings', 'Lions', 'Cardinals', 'Bears', 'Raiders', 'Broncos']",,,1.456,,,,,,,,,,,,,
Matt Corral,2022,,['Panthers'],,,1.381,,,,,,,,,,,,,
Sean Renfree,2013,,"['Falcons', 'Buccaneers']",,,1.359,,,,,,,,,,,,,
Aidan O'Connell,2023,,['Raiders'],,,1.259,,,,,,,,,,,,,
Aaron Murray,2014,,"['Chiefs', 'Eagles', 'Cardinals']",,,1.246,,,,,,,,,,,,,
Jake Haener,2023,,['Saints'],,,1.205,,,,,,,,,,,,,
Ben DiNucci,2020,,"['Cowboys', 'Broncos']",,,1.196,,,,,,,,,,,,,
Alex McGough,2018,,"['Texans', 'Seahawks', 'Packers', 'Jaguars']",,,1.181,,,,,,,,,,,,,
Chad Kelly,2017,,"['Broncos', 'Colts']",,,1.166,,,,,,,,,,,,,
Stetson Bennett,2023,,['Rams'],,,1.149,,,,,,,,,,,,,
Jimmy Clausen,2015,,"['Bears', 'Ravens']",,,1.125,,,,,,,,,,,,,
Clayton Tune,2023,,['Cardinals'],,,1.101,,,,,,,,,,,,,
Sean Clifford,2023,,['Packers'],,,1.074,,,,,,,,,,,,,
Reid Sinnett,2020,,"['Dolphins', 'Eagles', 'Buccaneers', 'Bengals']",,,1.065,,,,,,,,,,,,,
Dorian Thompson-Robinson,2023,,['Browns'],,,1.059,,,,,,,,,,,,,
Jaren Hall,2023,,['Vikings'],,,1.029,,,,,,,,,,,,,
Kurt Benkert,2018,,"['Falcons', 'Packers', '49ers']",,,1.023,,,,,,,,,,,,,
Brad Kaaya,2017,,"['Colts', 'Lions', 'Panthers']",,,1.017,,,,,,,,,,,,,
B.J. Daniels,2013,,"['Seahawks', '49ers', 'Falcons', 'Texans']",,,1.0,,,,,,,,,,,,,
Tanner McKee,2023,,['Eagles'],,,0.937,,,,,,,,,,,,,
Danny Etling,2018,,"['Patriots', 'Packers', 'Seahawks', 'Falcons', 'Jaguars', 'Broncos']",,,0.841,,,,,,,,,,,,,
Seneca Wallace,2013,,['Packers'],,,0.84,,,,,,,,,,,,,
Joe Callahan,2016,,"['Packers', 'Browns', 'Saints', 'Lions']",,,0.837,,,,,,,,,,,,,
Greg McElroy,2011,,"['Jets', 'Bengals']",,,0.815,,,,,,,,,,,,,
Tyson Bagent,2023,,['Bears'],,,0.775,,,,,,,,,,,,,
Clayton Thorson,2019,,"['Eagles', 'Giants', 'Cowboys']",,,0.726,,,,,,,,,,,,,
Luke Falk,2018,,"['Dolphins', 'Jets', 'Titans']",,,0.719,,,,,,,,,,,,,
Nate Stanley,2020,,['Vikings'],,,0.707,,,,,,,,,,,,,
Curtis Painter,2013,,['Giants'],,,0.695,,,,,,,,,,,,,
Chris Oladokun,2022,,"['Chiefs', 'Steelers']",,,0.678,,,,,,,,,,,,,
Jacob Dolegala,2019,,"['Bengals', 'Patriots', 'Dolphins']",,,0.671,,,,,,,,,,,,,
Tyler Wilson,2013,,"['Raiders', 'Titans']",,,0.654,,,,,,,,,,,,,
Malik Cunningham,2023,,"['Patriots', 'Ravens']",,,0.653,,,,,,,,,,,,,
Brad Sorensen,2013,,"['Chargers', 'Titans']",,,0.642,,,,,,,,,,,,,
Josh Woodrum,2017,,"['Commanders', 'Ravens', 'Browns', 'Bears', 'Colts']",,,0.638,,,,,,,,,,,,,
Stephen Morris,2015,,"['Colts', 'Eagles', 'Jaguars']",,,0.63,,,,,,,,,,,,,
Tommy DeVito,2023,,['Giants'],,,0.622,,,,,,,,,,,,,
Nathan Rourke,2023,,"['Jaguars', 'Patriots']",,,0.615,,,,,,,,,,,,,
Devlin Hodges,2019,,['Steelers'],,,0.597,,,,,,,,,,,,,
Trevone Boykin,2016,,['Seahawks'],,,0.587,,,,,,,,,,,,,
Nathan Enderle,2011,,['Bears'],,,0.544,,,,,,,,,,,,,
Brady Quinn,2013,,"['Rams', 'Jets', 'Seahawks']",,,0.536,,,,,,,,,,,,,
Matt Simms,2019,,"['Falcons', 'Jets']",,,0.525,,,,,,,,,,,,,
Thaddeus Lewis,2016,,"['49ers', 'Bills']",,,0.458,,,,,,,,,,,,,
Chandler Harnish,2012,,"['Colts', 'Vikings']",,,0.45,,,,,,,,,,,,,
Tyree Jackson,,,"['Giants', 'Bills']",,,0.45,,,,,,,,,,,,,
Steven Montez,2020,,"['Commanders', 'Lions']",,,0.435,,,,,,,,,,,,,
Zac Robinson,2013,,['Bengals'],,,0.418,,,,,,,,,,,,,
Kyle Shurmur,2019,,"['Chiefs', 'Commanders', 'Bengals']",,,0.388,,,,,,,,,,,,,
Keith Wenning,2014,,"['Ravens', 'Bengals', 'Giants']",,,0.387,,,,,,,,,,,,,
Anthony Brown,2022,,['Ravens'],,,0.365,,,,,,,,,,,,,
Max Duggan,2023,,['Chargers'],,,0.362,,,,,,,,,,,,,
Max McCaffrey,2017,,"['Jaguars', '49ers', 'Packers', 'Saints', 'Raiders']",,,0.349,,,,,,,,,,,,,
Brandon Doughty,2017,,['Dolphins'],,,0.343,,,,,,,,,,,,,
Spencer Rattler,2024,,['Saints'],,,0.336,,,,,,,,,,,,,
Carson Strong,,,"['Eagles', 'Cardinals']",,,0.332,,,,,,,,,,,,,
Matt Blanchard,,,"['Panthers', 'Browns', 'Colts']",,,0.295,,,,,,,,,,,,,
Tanner Lee,2018,,['Jaguars'],,,0.291,,,,,,,,,,,,,
Chase Garbers,2022,,['Raiders'],,,0.277,,,,,,,,,,,,,
Connor Shaw,,,"['Bears', 'Browns']",,,0.27,,,,,,,,,,,,,
EJ Perry,2022,,['Jaguars'],,,0.266,,,,,,,,,,,,,
Jordan Travis,2024,,['Jets'],,,0.254,,,,,,,,,,,,,
Sam Hartman,2024,,['Commanders'],,,0.245,,,,,,,,,,,,,
Tommy Stevens,2020,,"['Saints', 'Panthers']",,,0.242,,,,,,,,,,,,,
Jarrett Guarantano,2022,,"['Broncos', 'Cardinals']",,,0.224,,,,,,,,,,,,,
Mike Kafka,,,"['Buccaneers', 'Vikings', 'Titans']",,,0.216,,,,,,,,,,,,,
Chase Litton,2018,,"['Chiefs', 'Jaguars']",,,0.205,,,,,,,,,,,,,
Adam Weber,2011,,"['Broncos', 'Buccaneers']",,,0.204,,,,,,,,,,,,,
Jameill Showers,2015,,['Cowboys'],,,0.192,,,,,,,,,,,,,
Chad Kanoff,2018,,"['Cardinals', 'Lions']",,,0.188,,,,,,,,,,,,,
Joe Milton III,2024,,['Patriots'],,,0.183,,,,,,,,,,,,,
Brian Lewerke,2021,,"['Giants', 'Patriots']",,,0.177,,,,,,,,,,,,,
Jordan Ta'amu,2020,,"['Chiefs', 'Panthers']",,,0.163,,,,,,,,,,,,,
J.T. Barrett,2018,,"['Saints', 'Steelers']",,,0.162,,,,,,,,,,,,,
Manny Wilkins,2019,,['Packers'],,,0.143,,,,,,,,,,,,,
B.J. Coleman,2012,,['Packers'],,,0.143,,,,,,,,,,,,,
Devin Leary,2024,,['Ravens'],,,0.138,,,,,,,,,,,,,
Trevor Knight,2017,,"['Falcons', 'Cardinals']",,,0.125,,,,,,,,,,,,,
Tanner Mordecai,2024,,['49ers'],,,0.125,,,,,,,,,,,,,
Carter Bradley,2024,,['Raiders'],,,0.125,,,,,,,,,,,,,
Case Cookus,2022,,"['Rams', 'Giants']",,,0.116,,,,,,,,,,,,,
Cole McDonald,,,['Titans'],,,0.102,,,,,,,,,,,,,
Joel Stave,2017,,"['Vikings', 'Jets', 'Commanders', 'Seahawks']",,,0.096,,,,,,,,,,,,,
Michael Pratt,2024,,['Packers'],,,0.087,,,,,,,,,,,,,
Dylan Thompson,,,['49ers'],,,0.086,,,,,,,,,,,,,
Eric Dungey,,,"['Browns', 'Giants']",,,0.085,,,,,,,,,,,,,
Drew Plitt,2023,,['Bengals'],,,0.084,,,,,,,,,,,,,
Dresser Winn,2023,,['Rams'],,,0.083,,,,,,,,,,,,,
Tajh Boyd,,,['Jets'],,,0.079,,,,,,,,,,,,,
Jordan Rodgers,2013,,"['Buccaneers', 'Jaguars']",,,0.077,,,,,,,,,,,,,
Sefo Liufau,,,['Buccaneers'],,,0.071,,,,,,,,,,,,,
Nick Fitzgerald,,,['Buccaneers'],,,0.07,,,,,,,,,,,,,
Davis Cheek,2022,,['Panthers'],,,0.065,,,,,,,,,,,,,
Jerod Evans,,,['Packers'],,,0.065,,,,,,,,,,,,,
Ryan Willis,2021,,['Bears'],,,0.064,,,,,,,,,,,,,
Drew Anderson,2019,,['Cardinals'],,,0.06,,,,,,,,,,,,,
Jack Coan,,,['Colts'],,,0.06,,,,,,,,,,,,,
Adrian Martinez,2024,,['Lions'],,,0.06,,,,,,,,,,,,,
Jeff Tuel,,,['Jaguars'],,,0.059,,,,,,,,,,,,,
Tyler Ferguson,,,['Titans'],,,0.055,,,,,,,,,,,,,
Seth Lobato,,,"['Dolphins', 'Colts']",,,0.053,,,,,,,,,,,,,
Austin Allen,,,['Buccaneers'],,,0.05,,,,,,,,,,,,,
Tanner Morgan,,,"['Steelers', 'Vikings']",,,0.049,,,,,,,,,,,,,
Mike Bercovici,,,"['Cardinals', 'Chargers']",,,0.047,,,,,,,,,,,,,
Kenji Bahar,,,['Ravens'],,,0.046,,,,,,,,,,,,,
Bryn Renner,,,"['Ravens', 'Broncos']",,,0.043,,,,,,,,,,,,,
Alek Torgersen,2017,,"['Commanders', 'Lions', 'Falcons']",,,0.041,,,,,,,,,,,,,
Anthony Gordon,2021,,"['Broncos', 'Seahawks']",,,0.04,,,,,,,,,,,,,
McLeod Bethel-Thompson,,,"['Vikings', 'Dolphins', 'Patriots']",,,0.038,,,,,,,,,,,,,
Dominique Davis,,,['Colts'],,,0.038,,,,,,,,,,,,,
Holton Ahlers,,,['Seahawks'],,,0.037,,,,,,,,,,,,,
Lance Ball,,,"['Rams', 'Titans']",,,0.036,,,,,,,,,,,,,
John Rhys Plumlee,2024,,['Steelers'],,,0.035,,,,,,,,,,,,,
Pat Devlin,2015,,['Browns'],,,0.034,,,,,,,,,,,,,
Caleb Hanie,,,['Browns'],,,0.033,,,,,,,,,,,,,
Dennis Dixon,,,"['Eagles', 'Cardinals']",,,0.031,,,,,,,,,,,,,
J'Mar Smith,,,['Patriots'],,,0.03,,,,,,,,,,,,,
Kedon Slovis,2024,,['Jaguars'],,,0.03,,,,,,,,,,,,,
Dustin Vaughan,,,['Bills'],,,0.026,,,,,,,,,,,,,
Rusty Smith,,,['Titans'],,,0.024,,,,,,,,,,,,,
Jake Heaps,,,['Steelers'],,,0.021,,,,,,,,,,,,,
Jason Bean,2024,,['Colts'],,,0.02,,,,,,,,,,,,,
Wilton Speight,,,['49ers'],,,0.02,,,,,,,,,,,,,
Josh Love,,,"['Rams', 'Panthers']",,,0.019,,,,,,,,,,,,,
Jeff Mathews,2014,,"['Cardinals', 'Colts']",,,0.019,,,,,,,,,,,,,
Taryn Christion,,,"['Seahawks', 'Steelers']",,,0.018,,,,,,,,,,,,,
Chevan Cordeiro,,,['Seahawks'],,,0.018,,,,,,,,,,,,,
Kevin Davidson,,,['Browns'],,,0.018,,,,,,,,,,,,,
Brock Jensen,,,['Dolphins'],,,0.016,,,,,,,,,,,,,
Luis Perez,,,['Rams'],,,0.015,,,,,,,,,,,,,
Levi Lewis,,,['Seahawks'],,,0.015,,,,,,,,,,,,,
Peewee Jarrett,,,['Jets'],,,0.015,,,,,,,,,,,,,
G.J. Kinne,,,['Giants'],,,0.013,,,,,,,,,,,,,
Nic Shimonek,,,"['Commanders', 'Chargers']",,,0.013,,,,,,,,,,,,,
Cody Fajardo,,,['Raiders'],,,0.012,,,,,,,,,,,,,
James Blackman,,,['Dolphins'],,,0.012,,,,,,,,,,,,,
Jerrod Johnson,,,['Bears'],,,0.012,,,,,,,,,,,,,
Casey Bauman,,,['Chargers'],,,0.01,,,,,,,,,,,,,
Jack Plummer,2024,,['Panthers'],,,0.01,,,,,,,,,,,,,
Rocky Lombardi,,,['Bengals'],,,0.01,,,,,,,,,,,,,
Bryan Bennett,,,['Colts'],,,0.01,,,,,,,,,,,,,
Riley Neal,,,['Broncos'],,,0.008,,,,,,,,,,,,,
Connor Halliday,,,['Commanders'],,,0.008,,,,,,,,,,,,,
Keith Price,,,['Seahawks'],,,0.007,,,,,,,,,,,,,
Jalen Morton,,,['Packers'],,,0.007,,,,,,,,,,,,,
Brandon Peters,,,['Chargers'],,,0.007,,,,,,,,,,,,,
Nolan Henderson,,,['Ravens'],,,0.006,,,,,,,,,,,,,
Gavin Hardison,,,['Dolphins'],,,0.005,,,,,,,,,,,,,
John Paddock,,,['Falcons'],,,0.005,,,,,,,,,,,,,
Austin Reed,2024,,['Bears'],,,0.005,,,,,,,,,,,,,
Brendon Kay,,,['Steelers'],,,0.005,,,,,,,,,,,,,
Logan Kilgore,,,['Saints'],,,0.005,,,,,,,,,,,,,
Jerry Lovelocke,,,['Ravens'],,,0.005,,,,,,,,,,,,,
Matt Johnson,,,['Bengals'],,,0.005,,,,,,,,,,,,,
Peter Pujals,,,['Vikings'],,,0.005,,,,,,,,,,,,,
Jake Coker,,,['Cardinals'],,,0.005,,,,,,,,,,,,,
Cole Kelley,,,['Commanders'],,,0.005,,,,,,,,,,,,,
Eli Jenkins,,,['Chargers'],,,0.005,,,,,,,,,,,,,
Wes Lunt,,,['Vikings'],,,0.005,,,,,,,,,,,,,
Max Wittek,,,['Jaguars'],,,0.005,,,,,,,,,,,,,
Nick Schuessler,,,['Steelers'],,,0.004,,,,,,,,,,,,,
Chase Rettig,,,['Packers'],,,0.004,,,,,,,,,,,,,
Zach Terrell,,,['Ravens'],,,0.003,,,,,,,,,,,,,
Anthony Boone,,,['Lions'],,,0.003,,,,,,,,,,,,,
Zack Annexstad,,,['Buccaneers'],,,0.003,,,,,,,,,,,,,
Kory Faulkner,,,['49ers'],,,0.003,,,,,,,,,,,,,
Brett Smith,,,['Buccaneers'],,,0.003,,,,,,,,,,,,,
Jake Waters,,,['Jaguars'],,,0.002,,,,,,,,,,,,,
Tim DeMorat,,,['Commanders'],,,0.002,,,,,,,,,,,,,
Skyler Howard,,,['Seahawks'],,,0.002,,,,,,,,,,,,,
James Franklin,,,['Lions'],,,0.002,,,,,,,,,,,,,
Cole Stoudt,,,['Chargers'],,,0.002,,,,,,,,,,,,,
Austin Appleby,,,['Cowboys'],,,0.002,,,,,,,,,,,,,
Travis Partridge,,,['Vikings'],,,0.001,,,,,,,,,,,,,
Dalton Sturm,,,['Cowboys'],,,0.001,,,,,,,,,,,,,
Brogan Roback,,,['Browns'],,,0.001,,,,,,,,,,,,,
Tommy Rees,,,['Commanders'],,,0.001,,,,,,,,,,,,,
Nick Stevens,,,['Broncos'],,,0.0,,,,,,,,,,,,,
Broc Rutter,,,['49ers'],,,0.0,,,,,,,,,,,,,
