Player,Years Active,Career Earnings,Cap-Inflated Earnings,Earnings By Team
Aaron Rodgers,2005‑,"$343,531,094","$546,133,077","Packers: $306,642,206 Jets: $36,888,888"
Matt Stafford,2009‑,"$328,000,000","$507,909,318","Lions: $219,000,000 Rams: $109,000,000"
Tom Brady,2000‑2022,"$317,619,794","$600,482,947","Patriots: $230,324,206 Buccaneers: $87,295,588"
Matt Ryan,2008‑2022,"$306,205,882","$501,677,687","Falcons: $269,500,000 Colts: $36,705,882"
Russell Wilson,2012‑,"$305,340,123","$408,432,196","Seahawks: $181,340,123 Broncos: $124,000,000"
Kirk Cousins,2012‑,"$281,469,288","$364,088,971","Vikings: $185,000,000 Falcons: $50,000,000 Commanders: $46,469,288"
Drew Brees,2001‑2020,"$273,933,000","$514,107,505","Saints: $259,250,000 Chargers: $14,683,000"
Ben Roethlisberger,2004‑2021,"$266,724,382","$474,558,875","Steelers: $266,724,382"
Peyton Manning,1998‑2015,"$247,714,000","$645,365,904","Colts: $170,714,000 Broncos: $77,000,000"
Philip Rivers,2004‑2020,"$242,150,000","$454,718,983","Chargers: $217,150,000 Colts: $25,000,000"
Dak Prescott,2016‑,"$239,895,725","$289,497,402","Cowboys: $239,895,725"
Jared Goff,2016‑,"$233,995,672","$287,408,957","Lions: $150,775,000 Rams: $83,220,672"
Eli Manning,2004‑2019,"$232,490,000","$450,736,327","Giants: $232,490,000"
Alex Smith,2005‑2020,"$210,000,000","$375,106,756","49ers: $71,500,000 Commanders: $71,000,000 Chiefs: $67,500,000"
Ryan Tannehill,2012‑2023,"$195,050,979","$273,540,493","Titans: $122,500,000 Dolphins: $72,550,979"
Joe Flacco,2008‑,"$177,435,338","$309,890,042","Ravens: $147,800,000 Broncos: $18,500,000 Jets: $5,542,238 Eagles: $2,843,056 Colts: $1,500,000 Browns: $1,250,044"
Carson Palmer,2003‑2017,"$172,500,000","$379,361,319","Bengals: $84,000,000 Cardinals: $73,500,000 Raiders: $15,000,000"
Derek Carr,2014‑,"$165,519,283","$222,531,423","Raiders: $135,519,283 Saints: $30,000,000"
Jimmy Garoppolo,2014‑,"$150,775,589","$201,497,852","49ers: $121,687,099 Raiders: $24,070,000 Patriots: $3,049,740 Rams: $1,968,750"
Deshaun Watson,2017‑,"$142,761,982","$177,684,464","Browns: $91,367,500 Texans: $51,394,482"
Brett Favre,1991‑2010,"$141,407,000","$492,125,507","Packers: $100,697,000 Vikings: $28,000,000 Jets: $12,000,000 Falcons: $710,000"
Patrick Mahomes,2017‑,"$136,152,962","$170,188,100","Chiefs: $136,152,962"
Cam Newton,2011‑2021,"$134,735,498","$222,468,878","Panthers: $127,385,498 Patriots: $7,350,000"
Carson Wentz,2016‑,"$130,382,896","$176,664,752","Eagles: $79,059,338 Commanders: $28,295,176 Colts: $21,305,882 Chiefs: $990,000 Rams: $732,500"
Sam Bradford,2010‑2017,"$129,982,500","$237,559,237","Rams: $65,060,000 Vikings: $25,000,000 Eagles: $23,985,000 Cardinals: $15,937,500"
Jay Cutler,2006‑2017,"$127,874,999","$248,869,310","Bears: $103,904,999 Broncos: $13,970,000 Dolphins: $10,000,000"
Tony Romo,2003‑2016,"$127,420,000","$262,687,829","Cowboys: $127,420,000"
Michael Vick,2001‑2015,"$118,645,000","$311,481,012","Falcons: $61,400,000 Eagles: $52,275,000 Jets: $4,000,000 Steelers: $970,000"
Josh Allen,2018‑,"$112,904,439","$142,758,724","Bills: $112,904,439"
Lamar Jackson,2018‑,"$112,487,652","$132,419,449","Ravens: $112,487,652"
Andrew Luck,2012‑2018,"$109,107,998","$179,630,669","Colts: $109,107,998"
Andy Dalton,2011‑,"$106,514,198","$165,825,631","Bengals: $83,514,198 Bears: $10,000,000 Panthers: $6,000,000 Saints: $4,000,000 Cowboys: $3,000,000"
Kyler Murray,2019‑,"$99,134,284","$122,018,506","Cardinals: $99,134,284"
Donovan McNabb,1999‑2010,"$96,920,985","$278,421,306","Eagles: $76,764,735 Commanders: $15,106,250 Vikings: $5,050,000"
Matt Schaub,2004‑2020,"$95,935,000","$193,502,808","Texans: $70,000,000 Falcons: $14,935,000 Raiders: $8,000,000 Ravens: $3,000,000"
Jordan Love,2020‑,"$94,883,470","$99,150,313","Packers: $94,883,470"
Matt Hasselbeck,1998‑2015,"$88,163,000","$227,555,744","Seahawks: $62,650,000 Titans: $14,500,000 Colts: $10,250,000 Packers: $763,000"
Nick Foles,2012‑2022,"$83,755,520","$120,349,729","Jaguars: $30,125,000 Bears: $18,400,000 Eagles: $17,338,520 Rams: $12,042,000 Colts: $4,100,000 Chiefs: $1,750,000"
Ryan Fitzpatrick,2005‑2021,"$80,557,750","$141,637,488","Bills: $27,225,000 Jets: $15,250,000 Dolphins: $13,500,000 Commanders: $9,062,500 Buccaneers: $6,300,000 Texans: $4,000,000 Titans: $3,250,000 Bengals: $1,362,000 Rams: $608,250"
Drew Bledsoe,1993‑2006,"$79,656,250","$332,192,178","Patriots: $52,406,250 Bills: $19,250,000 Cowboys: $8,000,000"
Steve McNair,1995‑2007,"$76,984,260","$292,104,292","Titans: $60,984,260 Ravens: $16,000,000"
Joe Burrow,2020‑,"$76,190,136","$91,242,467","Bengals: $76,190,136"
Tyrod Taylor,2011‑,"$75,295,308","$107,668,175","Bills: $26,150,000 Browns: $16,000,000 Chargers: $11,000,000 Giants: $11,000,000 Texans: $5,000,000 Jets: $4,000,000 Ravens: $2,145,308"
Jameis Winston,2015‑,"$75,088,865","$106,720,682","Buccaneers: $46,148,865 Saints: $26,150,000 Browns: $2,790,000"
Tua Tagovailoa,2020‑,"$72,275,436","$80,302,416","Dolphins: $72,275,436"
Daniel Jones,2019‑,"$72,129,056","$87,180,981","Giants: $72,129,056"
Marcus Mariota,2015‑,"$71,085,974","$101,181,765","Titans: $45,135,974 Raiders: $11,200,000 Falcons: $6,750,000 Eagles: $5,000,000 Commanders: $3,000,000"
Mark Brunell,1993‑2011,"$70,637,625","$279,308,490","Jaguars: $47,900,000 Commanders: $17,485,000 Saints: $3,440,000 Jets: $1,500,000 Packers: $312,625"
Trevor Lawrence,2021‑,"$68,616,193","$79,588,095","Jaguars: $68,616,193"
Mark Sanchez,2009‑2018,"$66,297,941","$132,957,924","Jets: $54,225,000 Eagles: $6,750,000 Cowboys: $2,000,000 Bears: $2,000,000 Broncos: $1,000,000 Commanders: $322,941"
Matt Cassel,2005‑2018,"$65,494,000","$131,485,803","Chiefs: $46,000,000 Vikings: $9,450,000 Titans: $4,750,000 Cowboys: $1,764,706 Patriots: $1,589,000 Lions: $1,105,000 Bills: $835,294"
Teddy Bridgewater,2014‑2023,"$65,052,627","$89,063,964","Panthers: $31,015,625 Saints: $12,250,000 Vikings: $6,849,502 Dolphins: $6,500,000 Broncos: $4,437,500 Lions: $3,000,000 Jets: $1,000,000"
Kurt Warner,1997‑2009,"$63,858,520","$208,977,595","Cardinals: $31,500,000 Rams: $29,353,520 Giants: $3,000,000 Packers: $5,000"
Chad Pennington,2000‑2010,"$61,456,000","$176,321,764","Jets: $47,256,000 Dolphins: $14,200,000"
Sam Darnold,2018‑,"$60,115,694","$77,603,684","Jets: $25,733,009 Panthers: $23,632,685 Vikings: $6,250,000 49ers: $4,500,000"
Troy Aikman,1989‑2000,"$55,537,000","$197,188,903","Cowboys: $55,537,000"
Jacoby Brissett,2016‑,"$54,720,012","$69,758,034","Colts: $30,740,114 Commanders: $8,000,000 Patriots: $6,079,898 Dolphins: $5,000,000 Browns: $4,900,000"
Jake Plummer,1997‑2006,"$53,403,325","$204,612,448","Cardinals: $31,073,100 Broncos: $22,330,225"
Baker Mayfield,2018‑,"$52,300,980","$69,945,122","Browns: $43,442,980 Buccaneers: $4,000,000 Panthers: $3,508,556 Rams: $1,349,444"
Josh McCown,2002‑2020,"$51,231,059","$95,778,648","Jets: $17,625,000 Browns: $9,625,000 Buccaneers: $4,750,000 Lions: $4,000,000 Panthers: $3,700,000 Cardinals: $2,818,000 Dolphins: $2,550,000 Eagles: $2,096,000 Raiders: $2,000,000 Bears: $1,540,588 Texans: $526,471"
Dan Marino,1983‑1999,"$51,000,000","$180,510,614","Dolphins: $51,000,000"
Steve Young,1985‑1999,"$49,372,000","$180,174,867","49ers: $47,680,000 Buccaneers: $1,692,000"
David Carr,2002‑2012,"$49,090,000","$141,493,802","Texans: $36,000,000 Giants: $5,115,000 Panthers: $4,100,000 49ers: $3,875,000"
Case Keenum,2012‑,"$48,184,176","$66,634,996","Broncos: $22,000,000 Browns: $12,500,000 Texans: $3,822,135 Commanders: $3,500,000 Bills: $3,500,000 Vikings: $2,000,000 Rams: $862,041"
Blake Bortles,2014‑2021,"$47,770,804","$76,036,798","Jaguars: $46,154,802 Rams: $1,053,529 Broncos: $401,029 Saints: $87,722 Packers: $73,722"
John Elway,1983‑1998,"$47,445,000","$133,858,941","Broncos: $47,445,000"
Mitchell Trubisky,2017‑,"$47,317,436","$64,441,000","Bears: $29,032,436 Steelers: $14,285,000 Bills: $4,000,000"
Geno Smith,2013‑,"$45,014,603","$57,149,060","Seahawks: $37,795,000 Jets: $5,019,603 Giants: $1,200,000 Chargers: $1,000,000"
Colin Kaepernick,2011‑2016,"$43,349,296","$78,437,436","49ers: $43,349,296"
Chase Daniel,2009‑2022,"$43,102,217","$68,728,645","Eagles: $12,000,000 Chiefs: $10,000,000 Bears: $10,000,000 Lions: $5,000,000 Chargers: $3,075,000 Saints: $3,025,717 Commanders: $1,500"
Brock Osweiler,2012‑2018,"$41,396,678","$67,273,313","Texans: $21,000,000 Browns: $15,225,000 Broncos: $4,291,678 Dolphins: $880,000"
Chad Henne,2008‑2022,"$39,675,100","$68,466,300","Jaguars: $24,250,000 Chiefs: $11,950,000 Dolphins: $3,475,100"
Justin Herbert,2020‑,"$39,476,254","$48,271,037","Chargers: $39,476,254"
JaMarcus Russell,2007‑2009,"$39,365,000","$78,843,373","Raiders: $39,365,000"
Brian Hoyer,2009‑2023,"$38,797,590","$59,069,337","49ers: $10,676,471 Colts: $7,000,000 Patriots: $5,537,811 Texans: $5,093,750 Raiders: $4,257,500 Browns: $4,015,000 Bears: $2,000,000 Cardinals: $108,529 Steelers: $108,529"
Kevin Kolb,2007‑2013,"$37,680,375","$78,485,443","Cardinals: $20,500,000 Eagles: $14,430,375 Bills: $2,750,000"
Vince Young,2006‑2011,"$34,770,020","$76,647,034","Titans: $30,420,020 Eagles: $4,000,000 Bills: $350,000"
Robert Griffin III,2012‑2020,"$33,719,098","$62,330,207","Commanders: $21,119,098 Browns: $7,500,000 Ravens: $5,100,000"
Tim Couch,1999‑2003,"$33,064,000","$130,047,652","Browns: $32,439,000 Packers: $625,000"
Zach Wilson,2021‑,"$32,424,043","$42,881,435","Jets: $32,424,043"
Kyle Orton,2005‑2014,"$30,868,000","$64,794,049","Broncos: $10,740,647 Cowboys: $7,250,000 Bills: $6,000,000 Bears: $4,273,000 Chiefs: $2,604,353"
Mike Glennon,2013‑2022,"$29,487,129","$44,995,630","Bears: $16,000,000 Cardinals: $5,000,000 Buccaneers: $3,946,782 Raiders: $1,950,000 Giants: $1,375,000 Jaguars: $1,153,125 Dolphins: $62,222"
Derek Anderson,2005‑2018,"$29,405,634","$59,288,391","Browns: $15,478,824 Panthers: $9,587,750 Cardinals: $3,487,500 Bills: $775,001 Ravens: $76,559"
Jalen Hurts,2020‑,"$28,897,560","$33,557,860","Eagles: $28,897,560"
Trey Lance,2021‑,"$28,794,541","$38,924,517","49ers: $27,854,541 Cowboys: $940,000"
Josh Freeman,2009‑2015,"$28,328,824","$58,252,215","Buccaneers: $26,200,000 Vikings: $2,000,000 Giants: $65,000 Colts: $43,824 Dolphins: $20,000"
Blaine Gabbert,2011‑2023,"$27,761,646","$47,600,896","Jaguars: $9,990,059 Buccaneers: $7,037,500 49ers: $6,061,587 Titans: $2,500,000 Chiefs: $1,317,500 Cardinals: $855,000"
Shaun Hill,2002‑2016,"$26,456,000","$54,884,477","Lions: $10,500,000 Vikings: $8,076,000 49ers: $6,130,000 Rams: $1,750,000"
Drew Stanton,2007‑2020,"$26,360,250","$46,621,605","Cardinals: $14,750,000 Browns: $6,031,250 Lions: $4,305,000 Colts: $750,000 Jets: $500,000 Buccaneers: $24,000"
Colt McCoy,2010‑2022,"$26,268,500","$38,696,034","Commanders: $14,745,000 Cardinals: $7,212,500 Giants: $2,250,000 Browns: $2,061,000"
Matt Moore,2007‑2020,"$25,769,265","$48,802,498","Dolphins: $19,425,000 Panthers: $4,158,000 Chiefs: $2,171,265 Cowboys: $15,000"
Caleb Williams,2024‑,"$25,537,132","$25,537,132","Bears: $25,537,132"
Bryce Young,2023‑,"$25,353,688","$28,804,857","Panthers: $25,353,688"
Jason Campbell,2005‑2014,"$24,458,250","$53,841,718","Commanders: $10,215,000 Raiders: $7,743,250 Bears: $3,500,000 Browns: $1,500,000 Bengals: $1,500,000"
Jayden Daniels,2024‑,"$24,272,108","$24,272,108","Commanders: $24,272,108"
C.J. Stroud,2023‑,"$24,134,904","$27,420,171","Texans: $24,134,904"
Drake Maye,2024‑,"$23,467,100","$23,467,100","Patriots: $23,467,100"
Matt Leinart,2006‑2012,"$22,645,000","$51,672,976","Cardinals: $17,515,000 Texans: $4,380,000 Raiders: $750,000"
Anthony Richardson,2023‑,"$22,472,932","$25,531,970","Colts: $22,472,932"
Rob Johnson,1995‑2003,"$21,494,765","$95,342,554","Bills: $18,850,000 Commanders: $900,000 Jaguars: $858,000 Buccaneers: $675,000 Raiders: $211,765"
Josh Rosen,2018‑2022,"$18,785,195","$26,115,347","Cardinals: $11,358,372 Dolphins: $6,239,388 Falcons: $850,000 Buccaneers: $126,000 49ers: $88,235 Browns: $77,000 Vikings: $46,200"
Matt Flynn,2008‑2015,"$17,758,587","$36,929,693","Seahawks: $8,000,000 Raiders: $6,079,412 Packers: $3,063,587 Saints: $409,412 Bills: $126,176 Jets: $60,000 Patriots: $20,000"
Charlie Whitehurst,2006‑2015,"$17,499,838","$35,808,503","Seahawks: $8,000,000 Chargers: $5,373,000 Titans: $3,154,412 Colts: $751,838 Browns: $220,588"
Luke McCown,2004‑2016,"$17,310,000","$36,070,454","Jaguars: $6,800,000 Buccaneers: $4,345,000 Saints: $4,310,000 Falcons: $825,000 Browns: $780,000 Cowboys: $250,000"
Gardner Minshew,2019‑,"$16,251,616","$18,355,618","Raiders: $6,000,000 Colts: $5,500,000 Eagles: $3,390,000 Jaguars: $1,361,616"
A.J. McCarron,2014‑2023,"$16,015,754","$22,585,775","Texans: $7,000,000 Bills: $4,000,000 Bengals: $2,903,254 Falcons: $1,212,500 Raiders: $900,000"
Taylor Heinicke,2015‑,"$15,709,852","$19,517,055","Falcons: $8,280,000 Commanders: $5,797,588 Vikings: $790,335 Panthers: $689,000 Texans: $122,929 Patriots: $30,000"
Justin Fields,2021‑,"$15,638,504","$20,997,561","Bears: $15,638,504"
Dwayne Haskins,2019‑2021,"$15,266,614","$20,382,958","Commanders: $14,416,614 Steelers: $850,000"
Michael Penix Jr.,2024‑,"$13,461,916","$13,461,916","Falcons: $13,461,916"
Drew Lock,2019‑,"$13,010,820","$15,861,761","Broncos: $5,559,798 Seahawks: $5,451,022 Giants: $2,000,000"
Mac Jones,2021‑,"$12,800,930","$17,130,966","Patriots: $12,800,930"
J.J. McCarthy,2024‑,"$12,714,396","$12,714,396","Vikings: $12,714,396"
Jake Locker,2011‑2014,"$12,586,002","$26,210,033","Titans: $12,586,002"
Christian Ponder,2011‑2016,"$12,546,345","$25,283,027","Vikings: $10,158,698 Raiders: $1,500,000 49ers: $800,000 Broncos: $87,647"
C.J. Beathard,2017‑2023,"$11,500,673","$14,943,879","Jaguars: $7,972,027 49ers: $3,528,646"
Mason Rudolph,2018‑,"$11,337,085","$14,462,285","Steelers: $9,987,085 Titans: $1,350,000"
Nate Sudfeld,2016‑2023,"$11,002,538","$14,431,888","Eagles: $5,965,002 Lions: $2,935,000 49ers: $1,515,200 Commanders: $587,336"
Brandon Weeden,2012‑2018,"$10,876,123","$20,663,264","Browns: $6,281,288 Texans: $3,001,765 Cowboys: $958,235 Titans: $634,835"
Matt Barkley,2013‑2023,"$10,647,827","$15,834,573","Bills: $5,136,635 Eagles: $1,442,028 Cardinals: $931,618 Bengals: $892,647 Bears: $624,388 49ers: $550,000 Panthers: $418,056 Giants: $323,289 Jaguars: $129,444 Titans: $126,000 Falcons: $73,722"
Taysom Hill,2017‑2020,"$10,511,000","$13,786,515","Saints: $10,506,000 Packers: $5,000"
Bo Nix,2024‑,"$10,356,848","$10,356,848","Broncos: $10,356,848"
E.J. Manuel,2013‑2017,"$9,785,300","$18,636,881","Bills: $8,885,300 Raiders: $900,000"
Tim Tebow,2010‑2012,"$9,595,000","$20,094,488","Broncos: $5,490,625 Jets: $4,104,375"
Trevor Siemian,2015‑2023,"$9,523,037","$13,126,911","Jets: $2,399,106 Bears: $2,035,000 Vikings: $1,907,000 Broncos: $1,627,784 Saints: $1,281,647 Bengals: $152,500 Titans: $120,000"
Ryan Mallett,2011‑2017,"$9,516,799","$17,063,313","Texans: $3,714,476 Ravens: $3,631,471 Patriots: $2,170,852"
Josh Johnson,2008‑,"$9,481,033","$15,580,481","Buccaneers: $1,922,500 Ravens: $1,723,889 Bengals: $1,095,000 Lions: $1,030,000 Giants: $1,000,000 49ers: $882,699 Bills: $525,882 Broncos: $354,222 Jets: $333,166 Commanders: $215,294 Texans: $158,823 Colts: $153,382 Raiders: $45,000 Browns: $41,176"
Kenny Pickett,2022‑,"$9,460,654","$11,483,647","Steelers: $9,460,654"
Mike White,2018‑,"$9,100,980","$11,093,391","Dolphins: $4,500,000 Jets: $3,903,424 Cowboys: $697,556"
Paxton Lynch,2016‑2019,"$8,829,377","$13,889,814","Broncos: $8,334,083 Steelers: $495,294"
Jeff Driskel,2016‑,"$8,069,732","$10,750,672","Texans: $2,887,733 Broncos: $2,500,000 Bengals: $1,527,706 Lions: $513,353 Cardinals: $348,400 Browns: $180,000 49ers: $112,540"
Joshua Dobbs,2017‑,"$7,836,424","$10,062,304","Steelers: $3,482,065 Browns: $1,535,000 Vikings: $833,333 Cardinals: $666,667 Jaguars: $607,059 49ers: $500,000 Titans: $172,500 Lions: $39,800"
Jarrett Stidham,2019‑,"$7,621,112","$9,322,587","Broncos: $4,000,000 Patriots: $2,656,112 Raiders: $965,000"
Sean Mannion,2015‑2023,"$7,191,362","$10,388,140","Vikings: $3,371,022 Rams: $3,250,896 Seahawks: $569,444"
Tim Boyle,2018‑,"$7,005,800","$9,075,431","Lions: $3,934,800 Packers: $1,806,000 Jets: $815,600 Bears: $345,000 Texans: $61,800 Dolphins: $42,600"
Brandon Allen,2016‑,"$6,882,242","$9,069,857","Bengals: $3,423,176 49ers: $1,532,500 Rams: $707,294 Broncos: $645,000 Jaguars: $574,272"
Cooper Rush,2017‑,"$6,717,529","$8,516,876","Cowboys: $6,531,529 Giants: $186,000"
Nick Mullens,2017‑,"$6,525,138","$8,171,638","Vikings: $3,363,000 49ers: $1,869,694 Raiders: $692,000 Browns: $400,444 Eagles: $200,000"
Brett Hundley,2015‑2022,"$6,049,354","$8,736,681","Cardinals: $2,922,500 Packers: $1,798,632 Seahawks: $705,000 Colts: $484,000 Ravens: $123,822 Saints: $15,400"
Ryan Griffin,2017‑2022,"$5,941,000","$8,344,451","Buccaneers: $5,783,200 Saints: $157,800"
Kyle Allen,2018‑,"$5,937,330","$7,412,687","Texans: $2,397,059 Commanders: $1,525,000 Bills: $1,232,500 Panthers: $615,271 Steelers: $167,500"
Davis Mills,2021‑,"$5,865,996","$6,950,056","Texans: $5,865,996"
Nathan Peterman,2017‑,"$5,605,301","$7,343,699","Raiders: $2,588,200 Bears: $1,906,122 Bills: $1,030,979 Saints: $80,000"
Phillip Walker,2017‑2023,"$5,551,733","$6,814,276","Panthers: $2,460,000 Bears: $2,010,000 Browns: $796,933 Colts: $284,800"
Johnny Manziel,2014‑2015,"$5,533,916","$10,517,259","Browns: $5,533,916"
Landry Jones,2013‑2017,"$5,238,632","$8,880,864","Steelers: $5,099,220 Jaguars: $139,412"
Easton Stick,2019‑,"$5,231,120","$6,505,480","Chargers: $5,231,120"
Austin Davis,2012‑2017,"$5,214,235","$9,057,256","Browns: $1,533,529 Broncos: $1,250,000 Rams: $1,247,353 Seahawks: $1,084,412 Titans: $92,941 Dolphins: $6,000"
Bruce Gradkowski,2013‑2015,"$5,163,235","$9,931,505","Steelers: $5,163,235"
Kellen Clemens,2014‑2017,"$5,145,000","$8,957,719","Chargers: $5,145,000"
Tyler Huntley,2020‑,"$5,097,228","$6,050,886","Ravens: $4,627,328 Browns: $469,900"
Will Levis,2023‑,"$4,689,752","$5,328,126","Titans: $4,689,752"
Will Grier,2019‑,"$4,642,969","$5,977,113","Panthers: $1,992,180 Cowboys: $1,781,289 Patriots: $648,300 Chargers: $180,000 Bengals: $41,200"
Joe Webb,2010‑2019,"$4,303,309","$7,372,720","Vikings: $2,032,515 Texans: $2,025,000 Giants: $197,794 Lions: $48,000"
Tyler Bray,2015‑2020,"$4,182,602","$6,408,975","Chiefs: $2,966,250 Bears: $1,197,952 49ers: $18,400"
Kyle Trask,2021‑,"$4,120,518","$5,302,680","Buccaneers: $4,120,518"
